,hp,atk,def,spatk,spdef,spd,t11,t12,t21,t22,win
41,44.0,-11.0,15.0,12.0,35.0,12.0,0.5,1.0,1.0,1.0,1.0
42,-25.0,-43.0,-2.0,-55.0,-15.0,-50.0,2.0,1.0,1.0,1.0,1.0
43,-34.0,-11.0,-53.0,-41.0,-71.0,-20.0,2.0,0.5,1.0,0.0,0.0
44,4.0,-10.0,-10.0,5.0,-20.0,-29.0,1.0,1.0,1.0,1.0,0.0
45,-35.0,6.0,-26.0,-31.0,-14.0,40.0,1.0,1.0,1.0,1.0,1.0
46,-6.0,14.0,11.0,-9.0,34.0,-26.0,0.5,1.0,1.0,1.0,0.0
47,-20.0,64.0,85.0,30.0,60.0,36.0,1.0,1.0,1.0,1.0,1.0
48,-110.0,-55.0,170.0,-100.0,135.0,-60.0,1.0,1.0,1.0,1.0,0.0
49,-31.0,-10.0,-40.0,-67.0,-30.0,-68.0,2.0,1.0,0.5,1.0,0.0
50,-15.0,-33.0,81.0,-28.0,33.0,-53.0,2.0,1.0,0.5,1.0,0.0
51,46.0,40.0,50.0,4.0,50.0,70.0,0.5,1.0,2.0,0.0,0.0
52,-1.0,78.0,68.0,1.0,1.0,61.0,1.0,1.0,1.0,1.0,1.0
53,2.0,-40.0,-33.0,35.0,5.0,27.0,1.0,2.0,1.0,1.0,1.0
54,-30.0,25.0,-10.0,-60.0,-40.0,-20.0,0.5,1.0,1.0,1.0,0.0
55,-12.0,-36.0,-27.0,-20.0,-25.0,-6.0,2.0,1.0,1.0,1.0,0.0
56,20.0,5.0,-37.0,-35.0,-37.0,-16.0,1.0,1.0,1.0,1.0,0.0
57,-21.0,-95.0,-10.0,-13.0,-20.0,-38.0,1.0,1.0,1.0,1.0,0.0
58,7.0,18.0,-43.0,-14.0,25.0,17.0,0.5,1.0,2.0,2.0,1.0
59,-21.0,-10.0,-3.0,3.0,-12.0,23.0,2.0,1.0,2.0,1.0,1.0
60,-3.0,-52.0,2.0,-12.0,72.0,2.0,1.0,1.0,1.0,1.0,1.0
61,-13.0,29.0,-15.0,39.0,-40.0,5.0,1.0,1.0,1.0,1.0,1.0
62,49.0,79.0,30.0,7.0,20.0,7.0,1.0,1.0,1.0,1.0,1.0
63,-21.0,-2.0,12.0,-30.0,-6.0,27.0,0.5,1.0,0.5,0.5,1.0
64,-32.0,20.0,-15.0,-25.0,-15.0,16.0,1.0,1.0,1.0,1.0,1.0
65,7.0,-27.0,-31.0,38.0,35.0,53.0,1.0,1.0,1.0,1.0,1.0
66,50.0,100.0,55.0,75.0,30.0,45.0,1.0,1.0,1.0,1.0,1.0
67,-15.0,-30.0,5.0,-5.0,-30.0,15.0,0.5,1.0,2.0,1.0,1.0
68,-11.0,-47.0,10.0,11.0,10.0,-28.0,2.0,1.0,1.0,1.0,0.0
69,-9.0,-70.0,-16.0,15.0,-73.0,-21.0,0.5,1.0,1.0,1.0,0.0
70,-58.0,-74.0,152.0,-99.0,145.0,-95.0,0.5,1.0,2.0,1.0,0.0
71,-9.0,-16.0,-23.0,54.0,19.0,70.0,1.0,1.0,1.0,1.0,1.0
72,-26.0,-10.0,16.0,-86.0,11.0,-80.0,0.5,1.0,1.0,1.0,0.0
73,-11.0,13.0,-45.0,13.0,-45.0,-7.0,1.0,1.0,1.0,1.0,0.0
74,44.0,68.0,23.0,35.0,15.0,10.0,1.0,1.0,1.0,2.0,1.0
75,-90.0,30.0,34.0,5.0,34.0,10.0,2.0,1.0,1.0,1.0,1.0
76,-50.0,-15.0,-10.0,-25.0,-35.0,-40.0,0.5,2.0,1.0,1.0,0.0
77,-5.0,25.0,-53.0,3.0,-50.0,35.0,1.0,2.0,1.0,1.0,1.0
78,-54.0,-26.0,12.0,-1.0,12.0,37.0,1.0,1.0,1.0,1.0,1.0
79,25.0,45.0,10.0,-50.0,-30.0,-10.0,1.0,1.0,1.0,1.0,0.0
80,0.0,-50.0,-13.0,-65.0,-3.0,-85.0,2.0,1.0,2.0,1.0,0.0
81,0.0,-17.0,15.0,1.0,-5.0,-22.0,1.0,1.0,1.0,1.0,0.0
82,20.0,7.0,12.0,48.0,8.0,-10.0,1.0,1.0,1.0,2.0,0.0
83,-5.0,-35.0,-57.0,-40.0,-57.0,-41.0,1.0,1.0,1.0,1.0,0.0
84,-50.0,-52.0,-32.0,-35.0,-15.0,-21.0,2.0,1.0,2.0,1.0,0.0
85,8.0,-21.0,-67.0,-5.0,-50.0,60.0,1.0,1.0,1.0,1.0,0.0
86,-25.0,-27.0,-35.0,-78.0,-10.0,-5.0,0.5,0.5,1.0,1.0,0.0
87,-30.0,-78.0,-13.0,-38.0,57.0,-51.0,2.0,1.0,1.0,1.0,0.0
88,105.0,20.0,-35.0,55.0,-35.0,45.0,2.0,1.0,1.0,1.0,1.0
89,-3.0,-41.0,16.0,24.0,36.0,-32.0,1.0,0.5,1.0,0.5,0.0
90,-50.0,20.0,-40.0,-20.0,-90.0,-5.0,0.5,1.0,1.0,1.0,0.0
91,-16.0,-50.0,-10.0,-18.0,2.0,-5.0,1.0,1.0,1.0,1.0,0.0
92,-8.0,-11.0,44.0,56.0,21.0,-66.0,1.0,2.0,0.5,1.0,0.0
93,8.0,30.0,12.0,33.0,24.0,25.0,1.0,1.0,1.0,1.0,1.0
94,-65.0,-35.0,-15.0,0.0,-60.0,-50.0,1.0,1.0,0.5,1.0,0.0
95,-47.0,-71.0,-46.0,-14.0,-46.0,-47.0,0.5,1.0,1.0,1.0,0.0
96,-25.0,15.0,25.0,-30.0,-55.0,-45.0,1.0,1.0,0.5,1.0,0.0
97,-31.0,-45.0,-36.0,-12.0,-36.0,-31.0,2.0,2.0,1.0,1.0,0.0
98,-10.0,25.0,-25.0,25.0,-40.0,15.0,1.0,1.0,1.0,1.0,1.0
99,-5.0,10.0,20.0,57.0,40.0,83.0,1.0,1.0,1.0,1.0,1.0
100,-20.0,-23.0,10.0,-23.0,-20.0,16.0,2.0,0.5,1.0,1.0,1.0
101,-12.0,-14.0,8.0,-14.0,11.0,-55.0,1.0,1.0,1.0,1.0,0.0
102,5.0,-53.0,5.0,12.0,5.0,55.0,1.0,1.0,0.0,1.0,1.0
103,-37.0,-44.0,-33.0,-27.0,-31.0,-24.0,1.0,1.0,1.0,1.0,0.0
104,-15.0,-50.0,-55.0,-25.0,-15.0,0.0,1.0,1.0,1.0,1.0,0.0
105,50.0,65.0,-4.0,-35.0,11.0,70.0,1.0,0.5,1.0,1.0,1.0
106,-35.0,-50.0,-25.0,25.0,-55.0,40.0,1.0,1.0,1.0,1.0,1.0
107,-30.0,-45.0,-10.0,15.0,-5.0,5.0,1.0,1.0,1.0,1.0,1.0
108,-21.0,12.0,-17.0,-35.0,-10.0,10.0,1.0,0.5,1.0,1.0,1.0
109,-24.0,-29.0,-5.0,36.0,33.0,-1.0,1.0,1.0,1.0,1.0,0.0
110,10.0,-14.0,-40.0,11.0,-35.0,9.0,1.0,1.0,1.0,1.0,1.0
111,-17.0,-20.0,-25.0,5.0,-35.0,2.0,1.0,1.0,1.0,1.0,1.0
112,30.0,10.0,30.0,-10.0,-5.0,-50.0,1.0,1.0,1.0,1.0,0.0
113,25.0,65.0,10.0,30.0,40.0,65.0,1.0,1.0,1.0,1.0,1.0
114,21.0,35.0,60.0,95.0,40.0,19.0,1.0,0.5,1.0,1.0,1.0
115,65.0,45.0,-11.0,5.0,55.0,26.0,2.0,0.5,0.5,1.0,1.0
116,10.0,-65.0,-3.0,5.0,-55.0,-42.0,0.5,1.0,1.0,1.0,0.0
117,5.0,-43.0,12.0,-9.0,17.0,-47.0,1.0,1.0,0.5,1.0,0.0
118,14.0,-5.0,155.0,5.0,15.0,-130.0,1.0,1.0,0.5,0.0,0.0
119,-20.0,10.0,0.0,-60.0,-20.0,-30.0,1.0,1.0,2.0,1.0,0.0
120,15.0,23.0,-12.0,20.0,0.0,19.0,0.5,1.0,1.0,1.0,1.0
121,30.0,40.0,75.0,-15.0,-50.0,-70.0,1.0,1.0,1.0,1.0,1.0
122,-10.0,10.0,15.0,75.0,10.0,60.0,1.0,2.0,0.5,1.0,1.0
123,10.0,20.0,45.0,-65.0,-30.0,5.0,2.0,0.5,1.0,1.0,1.0
124,-30.0,30.0,0.0,-55.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0
125,-56.0,0.0,20.0,-10.0,15.0,11.0,1.0,1.0,1.0,1.0,1.0
126,-35.0,20.0,-35.0,-35.0,-35.0,-70.0,1.0,1.0,1.0,1.0,0.0
127,-10.0,-60.0,20.0,30.0,-10.0,-40.0,1.0,1.0,2.0,1.0,0.0
128,25.0,10.0,-15.0,70.0,50.0,20.0,0.5,2.0,0.0,0.5,1.0
129,-32.0,-29.0,3.0,10.0,10.0,25.0,0.5,1.0,1.0,1.0,1.0
130,6.0,0.0,23.0,3.0,-5.0,5.0,1.0,1.0,1.0,1.0,1.0
131,3.0,44.0,23.0,60.0,20.0,5.0,1.0,1.0,1.0,1.0,1.0
132,-25.0,-20.0,-10.0,-10.0,-20.0,-70.0,1.0,0.5,0.5,1.0,0.0
133,-15.0,-7.0,-63.0,-57.0,-73.0,40.0,0.0,1.0,1.0,1.0,0.0
134,5.0,45.0,50.0,35.0,45.0,10.0,0.5,1.0,0.5,1.0,1.0
135,-36.0,-30.0,-20.0,-5.0,-79.0,-50.0,0.5,1.0,2.0,0.0,0.0
136,25.0,30.0,10.0,15.0,0.0,55.0,1.0,1.0,1.0,2.0,1.0
137,17.0,-5.0,13.0,8.0,9.0,-3.0,2.0,1.0,1.0,1.0,0.0
138,12.0,80.0,20.0,-20.0,-50.0,-22.0,1.0,1.0,1.0,1.0,0.0
139,10.0,35.0,72.0,55.0,37.0,31.0,0.5,1.0,2.0,1.0,1.0
140,33.0,-7.0,25.0,-17.0,25.0,-64.0,1.0,1.0,1.0,1.0,0.0
141,10.0,74.0,55.0,39.0,10.0,7.0,1.0,1.0,1.0,1.0,1.0
142,-45.0,0.0,-20.0,-28.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0
143,-5.0,-35.0,-70.0,-45.0,-15.0,-15.0,0.5,1.0,0.5,1.0,0.0
144,-20.0,15.0,-14.0,52.0,-35.0,29.0,1.0,2.0,1.0,1.0,1.0
145,77.0,0.0,72.0,25.0,70.0,47.0,1.0,1.0,1.0,1.0,1.0
146,-75.0,25.0,-70.0,-35.0,-80.0,-10.0,1.0,1.0,2.0,1.0,0.0
147,-23.0,-10.0,-5.0,-125.0,-105.0,-50.0,1.0,0.0,1.0,1.0,0.0
148,-30.0,22.0,50.0,-5.0,15.0,25.0,2.0,0.5,2.0,1.0,1.0
149,-32.0,-69.0,-45.0,30.0,15.0,19.0,1.0,0.0,1.0,2.0,1.0
150,5.0,20.0,50.0,85.0,0.0,-35.0,2.0,1.0,0.5,1.0,1.0
151,0.0,-35.0,-5.0,-50.0,-25.0,-65.0,1.0,1.0,1.0,1.0,0.0
152,3.0,4.0,18.0,44.0,-5.0,-2.0,1.0,1.0,1.0,1.0,0.0
153,0.0,-5.0,-20.0,10.0,0.0,-70.0,1.0,1.0,0.5,1.0,0.0
154,5.0,43.0,47.0,78.0,77.0,57.0,1.0,1.0,0.5,1.0,1.0
155,-5.0,40.0,5.0,40.0,-10.0,10.0,0.5,1.0,1.0,1.0,1.0
156,-15.0,-47.0,-13.0,-12.0,22.0,-3.0,2.0,2.0,1.0,1.0,0.0
157,-11.0,-41.0,35.0,-119.0,-35.0,-84.0,1.0,1.0,1.0,1.0,0.0
158,0.0,0.0,20.0,50.0,45.0,5.0,0.0,1.0,1.0,1.0,0.0
159,-26.0,-98.0,-35.0,-93.0,-65.0,-70.0,1.0,0.5,1.0,1.0,0.0
160,21.0,4.0,-30.0,16.0,-15.0,9.0,1.0,0.5,2.0,1.0,1.0
161,45.0,20.0,-22.0,55.0,40.0,25.0,1.0,1.0,1.0,1.0,1.0
162,44.0,15.0,30.0,15.0,50.0,-110.0,1.0,1.0,1.0,1.0,1.0
163,0.0,-30.0,20.0,20.0,120.0,-30.0,0.5,1.0,1.0,1.0,0.0
164,-27.0,3.0,-23.0,-34.0,-29.0,29.0,1.0,1.0,1.0,1.0,1.0
165,-10.0,-50.0,-20.0,35.0,-10.0,-30.0,2.0,0.5,1.0,1.0,0.0
166,20.0,36.0,-30.0,-9.0,-20.0,94.0,2.0,0.5,2.0,0.5,1.0
167,-10.0,-40.0,-61.0,-42.0,-38.0,-20.0,2.0,0.5,2.0,1.0,0.0
168,20.0,20.0,36.0,40.0,26.0,0.0,2.0,1.0,1.0,1.0,0.0
169,100.0,36.0,70.0,55.0,70.0,49.0,1.0,1.0,1.0,1.0,1.0
170,30.0,35.0,10.0,-50.0,10.0,-75.0,1.0,1.0,2.0,1.0,0.0
171,7.0,30.0,13.0,-45.0,30.0,0.0,1.0,1.0,2.0,1.0,0.0
172,-35.0,-110.0,-30.0,-110.0,-30.0,-45.0,1.0,1.0,1.0,1.0,0.0
173,12.0,18.0,-5.0,26.0,15.0,19.0,1.0,1.0,1.0,1.0,1.0
174,55.0,-5.0,-40.0,-90.0,-25.0,-105.0,1.0,1.0,1.0,1.0,1.0
175,10.0,34.0,20.0,-30.0,15.0,-29.0,2.0,2.0,1.0,1.0,0.0
176,15.0,-30.0,-21.0,35.0,9.0,35.0,1.0,1.0,2.0,1.0,1.0
177,15.0,24.0,46.0,91.0,34.0,40.0,1.0,1.0,1.0,1.0,1.0
178,5.0,-70.0,-72.0,-38.0,-25.0,-44.0,1.0,0.5,1.0,1.0,0.0
179,-18.0,9.0,-1.0,-14.0,51.0,-86.0,1.0,1.0,1.0,1.0,0.0
180,-70.0,-50.0,-40.0,-45.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0
181,5.0,40.0,26.0,10.0,36.0,8.0,1.0,1.0,1.0,1.0,1.0
182,-38.0,-68.0,-28.0,-25.0,-30.0,-46.0,1.0,0.5,1.0,1.0,0.0
183,-15.0,30.0,-15.0,-25.0,5.0,-5.0,1.0,1.0,1.0,2.0,0.0
184,-5.0,19.0,-5.0,-8.0,-35.0,1.0,1.0,1.0,1.0,1.0,1.0
185,28.0,19.0,-1.0,50.0,26.0,23.0,2.0,1.0,1.0,1.0,1.0
186,34.0,80.0,10.0,25.0,40.0,45.0,1.0,1.0,1.0,1.0,1.0
187,35.0,100.0,80.0,-5.0,-55.0,-5.0,1.0,2.0,1.0,0.0,0.0
188,20.0,40.0,-2.0,-55.0,-67.0,-66.0,1.0,1.0,1.0,1.0,1.0
189,32.0,2.0,12.0,-4.0,-22.0,-77.0,1.0,1.0,1.0,1.0,0.0
190,-9.0,6.0,32.0,-55.0,-35.0,-58.0,0.5,1.0,1.0,1.0,0.0
191,6.0,-12.0,18.0,45.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0
192,47.0,99.0,67.0,59.0,44.0,50.0,1.0,1.0,2.0,1.0,1.0
193,-85.0,-10.0,-55.0,-39.0,-59.0,10.0,0.0,1.0,1.0,1.0,0.0
194,33.0,-20.0,-75.0,-30.0,-80.0,51.0,0.5,1.0,0.5,1.0,1.0
195,-10.0,20.0,-5.0,-60.0,-40.0,-70.0,1.0,1.0,1.0,1.0,0.0
196,-7.0,-30.0,5.0,60.0,55.0,-35.0,1.0,1.0,1.0,1.0,0.0
197,5.0,-25.0,5.0,20.0,10.0,50.0,0.5,1.0,0.5,1.0,1.0
198,11.0,-45.0,-90.0,45.0,26.0,55.0,0.5,0.5,0.0,0.5,0.0
199,17.0,69.0,12.0,-16.0,29.0,85.0,1.0,1.0,0.5,1.0,1.0
200,-38.0,-56.0,-35.0,-23.0,-12.0,-54.0,2.0,1.0,0.5,1.0,0.0
201,10.0,-20.0,-13.0,-100.0,25.0,-27.0,0.5,0.5,1.0,2.0,0.0
202,11.0,22.0,-5.0,-33.0,-10.0,4.0,1.0,1.0,1.0,1.0,1.0
203,30.0,10.0,-20.0,-30.0,5.0,-35.0,1.0,1.0,1.0,1.0,0.0
204,-80.0,-115.0,25.0,-35.0,-20.0,-70.0,1.0,1.0,1.0,1.0,0.0
205,56.0,52.0,60.0,60.0,-14.0,7.0,2.0,1.0,1.0,1.0,1.0
206,25.0,66.0,35.0,-9.0,-15.0,-11.0,2.0,0.5,1.0,1.0,0.0
207,-27.0,-50.0,8.0,-45.0,20.0,-57.0,1.0,0.5,2.0,1.0,0.0
208,-10.0,-50.0,5.0,25.0,15.0,-10.0,1.0,1.0,1.0,1.0,0.0
209,12.0,-37.0,0.0,43.0,0.0,67.0,1.0,1.0,2.0,2.0,1.0
210,4.0,-45.0,35.0,-45.0,35.0,-4.0,1.0,0.5,1.0,1.0,0.0
211,41.0,39.0,36.0,39.0,36.0,43.0,0.5,1.0,1.0,1.0,1.0
212,23.0,8.0,43.0,91.0,39.0,15.0,1.0,0.5,1.0,1.0,1.0
213,-15.0,-35.0,-45.0,-150.0,-75.0,-85.0,0.5,0.5,1.0,1.0,0.0
214,36.0,-39.0,-13.0,6.0,42.0,-32.0,1.0,1.0,2.0,2.0,0.0
215,10.0,-10.0,10.0,55.0,55.0,35.0,1.0,1.0,1.0,1.0,1.0
216,10.0,40.0,45.0,5.0,15.0,25.0,1.0,0.5,1.0,1.0,1.0
217,16.0,55.0,23.0,30.0,-23.0,-12.0,1.0,1.0,1.0,1.0,0.0
218,21.0,111.0,65.0,5.0,55.0,40.0,1.0,0.5,1.0,0.0,0.0
219,20.0,15.0,-49.0,60.0,-29.0,18.0,1.0,0.5,2.0,1.0,1.0
220,-35.0,-35.0,-35.0,-50.0,-25.0,-75.0,1.0,1.0,1.0,1.0,0.0
221,-20.0,-75.0,-57.0,-15.0,-32.0,-23.0,1.0,1.0,2.0,1.0,0.0
222,-15.0,-32.0,-13.0,-4.0,9.0,10.0,1.0,1.0,1.0,1.0,1.0
223,40.0,-13.0,-25.0,55.0,30.0,48.0,0.5,1.0,1.0,1.0,1.0
224,-70.0,-78.0,-30.0,-60.0,-25.0,25.0,1.0,1.0,1.0,1.0,0.0
225,-60.0,12.0,0.0,-13.0,-35.0,43.0,1.0,1.0,2.0,1.0,1.0
226,-20.0,-2.0,85.0,32.0,40.0,7.0,1.0,1.0,1.0,1.0,1.0
227,35.0,35.0,95.0,14.0,44.0,25.0,1.0,0.0,1.0,1.0,1.0
228,-24.0,51.0,51.0,41.0,44.0,19.0,2.0,1.0,1.0,1.0,1.0
229,-54.0,-28.0,-23.0,-32.0,-12.0,-1.0,1.0,1.0,2.0,1.0,0.0
230,33.0,-45.0,21.0,30.0,86.0,30.0,0.5,1.0,1.0,1.0,1.0
231,5.0,-3.0,-25.0,72.0,25.0,5.0,2.0,1.0,1.0,1.0,1.0
232,-15.0,-70.0,-70.0,35.0,-15.0,0.0,1.0,1.0,1.0,1.0,0.0
233,10.0,-7.0,-88.0,78.0,-18.0,75.0,1.0,0.5,1.0,1.0,1.0
234,-3.0,55.0,9.0,75.0,9.0,15.0,1.0,1.0,1.0,1.0,1.0
235,80.0,33.0,-7.0,43.0,-7.0,30.0,0.5,1.0,1.0,1.0,1.0
236,25.0,16.0,-10.0,2.0,0.0,-3.0,1.0,1.0,1.0,1.0,0.0
237,4.0,-44.0,-5.0,-7.0,-25.0,-73.0,2.0,1.0,2.0,1.0,0.0
238,0.0,-30.0,5.0,0.0,-45.0,40.0,2.0,1.0,1.0,1.0,1.0
239,5.0,35.0,20.0,-40.0,-70.0,-60.0,1.0,0.5,1.0,1.0,0.0
240,-11.0,25.0,77.0,-34.0,33.0,-7.0,0.0,1.0,1.0,0.5,0.0
241,60.0,150.0,128.0,100.0,38.0,25.0,0.5,1.0,2.0,0.5,1.0
242,-22.0,-13.0,-25.0,-25.0,-21.0,-14.0,1.0,1.0,1.0,1.0,0.0
243,-10.0,19.0,35.0,24.0,55.0,11.0,1.0,1.0,1.0,2.0,1.0
244,-28.0,0.0,5.0,80.0,35.0,8.0,2.0,1.0,1.0,1.0,1.0
245,34.0,-66.0,-34.0,38.0,36.0,-42.0,1.0,1.0,1.0,1.0,0.0
246,10.0,10.0,-55.0,15.0,25.0,60.0,2.0,1.0,1.0,1.0,1.0
247,-25.0,5.0,-45.0,-25.0,50.0,30.0,0.5,2.0,1.0,1.0,1.0
248,45.0,60.0,23.0,32.0,65.0,45.0,2.0,2.0,0.5,1.0,1.0
249,80.0,10.0,-80.0,60.0,40.0,40.0,1.0,1.0,0.5,1.0,1.0
250,-70.0,-130.0,-78.0,-30.0,-58.0,-35.0,1.0,1.0,1.0,1.0,0.0
251,55.0,10.0,80.0,30.0,100.0,5.0,1.0,1.0,1.0,1.0,1.0
252,10.0,23.0,18.0,-2.0,18.0,-21.0,0.5,1.0,1.0,1.0,0.0
253,14.0,0.0,-20.0,-5.0,-30.0,36.0,1.0,1.0,1.0,1.0,1.0
254,-47.0,-36.0,-74.0,-34.0,-24.0,4.0,0.5,1.0,0.5,1.0,1.0
255,4.0,18.0,19.0,5.0,70.0,19.0,1.0,1.0,1.0,1.0,1.0
256,15.0,25.0,50.0,-5.0,65.0,0.0,0.5,1.0,1.0,1.0,0.0
257,35.0,60.0,40.0,-5.0,40.0,30.0,1.0,1.0,1.0,1.0,1.0
258,-154.0,17.0,-8.0,32.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0
259,-34.0,-50.0,-60.0,-134.0,-60.0,-105.0,0.5,1.0,1.0,1.0,0.0
260,-66.0,-155.0,-70.0,-134.0,-80.0,-80.0,2.0,0.5,1.0,1.0,0.0
261,56.0,52.0,25.0,89.0,25.0,88.0,1.0,1.0,0.5,1.0,1.0
262,40.0,0.0,35.0,60.0,20.0,-70.0,2.0,1.0,0.5,1.0,1.0
263,-37.0,-45.0,-11.0,15.0,-11.0,-45.0,2.0,1.0,1.0,1.0,0.0
264,-33.0,-33.0,-18.0,-20.0,-38.0,15.0,1.0,1.0,1.0,1.0,1.0
265,1.0,6.0,33.0,-51.0,-21.0,-69.0,0.5,1.0,1.0,1.0,0.0
266,9.0,-30.0,-15.0,10.0,15.0,11.0,1.0,0.5,1.0,0.5,1.0
267,10.0,-25.0,42.0,-85.0,-5.0,-67.0,0.5,0.5,1.0,2.0,0.0
268,-5.0,-20.0,-20.0,10.0,-10.0,0.0,1.0,1.0,1.0,1.0,0.0
269,40.0,65.0,28.0,0.0,65.0,-8.0,1.0,1.0,1.0,1.0,0.0
270,35.0,15.0,15.0,35.0,45.0,35.0,0.5,1.0,1.0,1.0,1.0
271,10.0,5.0,-27.0,-55.0,-22.0,-46.0,1.0,0.5,1.0,0.5,0.0
272,-30.0,-45.0,47.0,-45.0,-23.0,16.0,1.0,1.0,1.0,1.0,1.0
273,-18.0,71.0,69.0,-7.0,-37.0,1.0,1.0,2.0,1.0,1.0,1.0
274,-10.0,-24.0,-17.0,-69.0,-30.0,-59.0,2.0,1.0,1.0,1.0,0.0
275,44.0,22.0,69.0,3.0,43.0,14.0,1.0,1.0,2.0,1.0,1.0
276,30.0,-15.0,-10.0,-40.0,-35.0,-90.0,1.0,1.0,1.0,1.0,0.0
277,-52.0,-25.0,-25.0,25.0,15.0,10.0,1.0,1.0,1.0,1.0,1.0
278,55.0,119.0,115.0,75.0,90.0,51.0,2.0,1.0,1.0,1.0,1.0
279,37.0,45.0,15.0,-2.0,10.0,0.0,0.5,1.0,1.0,1.0,0.0
280,-15.0,10.0,-10.0,-55.0,-10.0,-20.0,0.5,1.0,1.0,1.0,0.0
281,12.0,5.0,14.0,-5.0,-16.0,-45.0,1.0,1.0,1.0,1.0,0.0
282,27.0,40.0,50.0,70.0,98.0,9.0,1.0,1.0,1.0,1.0,1.0
283,18.0,37.0,18.0,-28.0,13.0,-32.0,1.0,2.0,1.0,1.0,0.0
